"problem","type","thresh","npasses","primal","final_lambda","runtime","jerr"
"synthetic","Newton",0.1,50,0.117413921714809,0.00374562643338918,0.112,0
"synthetic","Newton",0.0316227766016838,50,0.117413921714809,0.00374562643338918,0.0109999999999999,0
"synthetic","Newton",0.01,50,0.117413921714809,0.00374562643338918,0.01,0
"synthetic","Newton",0.00316227766016838,50,0.117413921714809,0.00374562643338918,0.01,0
"synthetic","Newton",0.001,50,0.117413921714809,0.00374562643338918,0.014,0
"synthetic","Newton",0.000316227766016838,119,0.117270180114136,0.00374562643338918,0.0110000000000001,0
"synthetic","Newton",1e-04,197,0.117177967783335,0.00374562643338918,0.0150000000000001,0
"synthetic","Newton",3.16227766016838e-05,205,0.11717797241176,0.00374562643338918,0.0199999999999998,0
"synthetic","Newton",1e-05,256,0.117171866448368,0.00374562643338918,0.0130000000000001,0
"synthetic","Newton",3.16227766016838e-06,293,0.117170932299362,0.00374562643338918,0.0130000000000001,0
"synthetic","Newton",1e-06,358,0.11717019342709,0.00374562643338918,0.0190000000000001,0
"synthetic","Newton",3.16227766016838e-07,492,0.117169961409901,0.00374562643338918,0.0169999999999999,0
"synthetic","Newton",1e-07,585,0.117169813869225,0.00374562643338918,0.0189999999999999,0
"synthetic","Newton",3.16227766016838e-08,690,0.117169800370734,0.00374562643338918,0.0259999999999998,0
"synthetic","Newton",1e-08,782,0.117169792218565,0.00374562643338918,0.0230000000000001,0
"synthetic","Newton",3.16227766016838e-09,885,0.117169787911979,0.00374562643338918,0.0290000000000001,0
"synthetic","Newton",1e-09,1005,0.11716978701368,0.00374562643338918,0.028,0
"synthetic","Newton",3.16227766016838e-10,1119,0.117169786692484,0.00374562643338918,0.0329999999999999,0
"synthetic","Newton",1e-10,1244,0.11716978658814,0.00374562643338918,0.0289999999999999,0
"synthetic","Newton",3.16227766016838e-11,1361,0.117169786549017,0.00374562643338918,0.036,0
"synthetic","Newton",1e-11,1510,0.117169786529428,0.00374562643338918,0.034,0
"synthetic","Newton",3.16227766016838e-12,1672,0.117169786520146,0.00374562643338918,0.0429999999999999,0
"synthetic","Newton",1e-12,1866,0.117169786513053,0.00374562643338918,0.04,0
"synthetic","Newton",3.16227766016838e-13,2072,0.117169786511044,0.00374562643338918,0.05,0
"synthetic","Newton",1e-13,2271,0.11716978651047,0.00374562643338918,0.0509999999999999,0
"synthetic","modified.Newton",0.1,50,0.11967230958137,0.00374562643338918,0.0129999999999999,0
"synthetic","modified.Newton",0.0316227766016838,50,0.11967230958137,0.00374562643338918,0.0089999999999999,0
"synthetic","modified.Newton",0.01,50,0.11967230958137,0.00374562643338918,0.0210000000000001,0
"synthetic","modified.Newton",0.00316227766016838,50,0.11967230958137,0.00374562643338918,0.00800000000000001,0
"synthetic","modified.Newton",0.001,50,0.11967230958137,0.00374562643338918,0.0089999999999999,0
"synthetic","modified.Newton",0.000316227766016838,89,0.119070688930061,0.00374562643338918,0.014,0
"synthetic","modified.Newton",1e-04,170,0.117866002669324,0.00374562643338918,0.0109999999999999,0
"synthetic","modified.Newton",3.16227766016838e-05,232,0.117455863201895,0.00374562643338918,0.012,0
"synthetic","modified.Newton",1e-05,304,0.117320232530839,0.00374562643338918,0.018,0
"synthetic","modified.Newton",3.16227766016838e-06,391,0.117242947381159,0.00374562643338918,0.0130000000000001,0
"synthetic","modified.Newton",1e-06,577,0.117204597025241,0.00374562643338918,0.0180000000000002,0
"synthetic","modified.Newton",3.16227766016838e-07,777,0.117184060215011,0.00374562643338918,0.0259999999999998,0
"synthetic","modified.Newton",1e-07,1005,0.117175368146716,0.00374562643338918,0.0249999999999999,0
"synthetic","modified.Newton",3.16227766016838e-08,1295,0.117171763073061,0.00374562643338918,0.0340000000000003,0
"synthetic","modified.Newton",1e-08,1668,0.117170518869064,0.00374562643338918,0.036,0
"synthetic","modified.Newton",3.16227766016838e-09,2111,0.117170063153437,0.00374562643338918,0.048,0
"synthetic","modified.Newton",1e-09,2644,0.117169891698267,0.00374562643338918,0.056,0
"synthetic","modified.Newton",3.16227766016838e-10,3282,0.117169823231075,0.00374562643338918,0.069,0
"synthetic","modified.Newton",1e-10,4021,0.117169798451837,0.00374562643338918,0.0779999999999998,0
"synthetic","modified.Newton",3.16227766016838e-11,4837,0.117169790710167,0.00374562643338918,0.093,0
"synthetic","modified.Newton",1e-11,5732,0.117169787983324,0.00374562643338918,0.116,0
"synthetic","modified.Newton",3.16227766016838e-12,6743,0.117169787037573,0.00374562643338918,0.13,0
"synthetic","modified.Newton",1e-12,7898,0.117169786719756,0.00374562643338918,0.152,0
"synthetic","modified.Newton",3.16227766016838e-13,9140,0.117169786583929,0.00374562643338918,0.279,0
"synthetic","modified.Newton",1e-13,10484,0.117169786532489,0.00374562643338918,0.203,0
